Country Name,Country Code,Series Name,Series Code,1982 [YR1982],2012 [YR2012]
Bhutan,BTN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,46.4472439,68.72290244
Bolivia,BOL,"Population, total",SP.POP.TOTL,5835186,10238762
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,958.6872467,2645.290274
Bolivia,BOL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,50.96809756,67.44546341
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,4226663,3828419
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,..,4494.640812
Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.63717073,76.12017073
Botswana,BWA,"Population, total",SP.POP.TOTL,1069962,2132822
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,948.5812214,6935.593653
Botswana,BWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.48143902,64.22273171
Brazil,BRA,"Population, total",SP.POP.TOTL,128054757,202401584
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,2199.701993,12157.30822
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.6022439,73.83958537
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,205061,405512
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,20795.04312,41807.65334
Brunei Darussalam,BRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.91936585,78.25258537
Bulgaria,BGR,"Population, total",SP.POP.TOTL,8917457,7305888
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,2220.823169,7333.355073
Bulgaria,BGR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.18609756,74.31463415
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,7158256,16590813
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,245.0946289,673.0267834
Burkina Faso,BFA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,47.74963415,57.87931707
Burundi,BDI,"Population, total",SP.POP.TOTL,4359122,10124572
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,232.4372253,244.1964862
Burundi,BDI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,47.93858537,55.78929268
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,296071,500870
Cabo Verde,CPV,GDP per capita (current US$),NY.GDP.PCAP.CD,474.9899808,3497.691141
Cabo Verde,CPV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.8894878,72.82821951
Cambodia,KHM,"Population, total",SP.POP.TOTL,6945053,14832255
Cambodia,KHM,GDP per capita (current US$),NY.GDP.PCAP.CD,..,946.4766787
Cambodia,KHM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,39.17431707,67.32887805
Cameroon,CMR,"Population, total",SP.POP.TOTL,9480638,21659488
Cameroon,CMR,GDP per capita (current US$),NY.GDP.PCAP.CD,772.4072578,1222.192142
Cameroon,CMR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,51.98197561,54.5875122
Canada,CAN,"Population, total",SP.POP.TOTL,25202000,34751476
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,12437.62509,52737.77716
Canada,CAN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.6804878,81.56243902
Caribbean small states,CSS,"Population, total",SP.POP.TOTL,5599100,6937108
Caribbean small states,CSS,GDP per capita (current US$),NY.GDP.PCAP.CD,2928.952734,9586.922894
Caribbean small states,CSS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.74464671,72.54548474
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,17357,57522
Cayman Islands,CYM,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..
